tenure,monthly_charges,total_charges,senior_citizen,churn
7,76.45,503.60,t,t
15,105.35,1559.25,f,f
61,20.55,1252.00,f,f
1,29.95,29.95,f,t
1,45.30,45.30,f,f
8,84.50,662.65,f,t
33,74.75,2453.30,f,f
13,79.25,1111.65,f,t
1,24.80,24.80,f,t
20,51.80,1023.85,f,f
3,30.40,82.15,f,f
13,19.65,244.80,f,f
40,56.60,2379.10,f,f
43,71.90,3173.35,f,f
6,91.00,531.00,f,t
69,19.75,1375.40,f,f
72,109.70,8129.30,f,f
59,19.30,1192.70,f,f
20,96.55,1901.65,f,f
24,24.10,587.40,f,f
59,111.35,6519.75,f,f
72,112.25,8041.65,f,f
1,20.75,20.75,f,f
27,101.90,2681.15,f,f
14,80.05,1112.30,f,f
71,105.55,7405.50,f,f
13,78.30,1033.95,f,f
44,68.85,2958.95,f,f
33,79.95,2684.85,f,f
72,55.45,4179.20,f,f
1,79.90,79.90,f,t
19,106.60,1934.45,f,t
64,102.45,6654.10,f,f
2,46.00,84.50,f,t
1,25.25,25.25,f,f
61,19.75,1124.20,f,f
29,20.00,540.05,f,f
23,86.80,1975.85,t,f
57,58.75,3437.45,f,f
72,45.25,3139.80,f,f
66,56.60,3789.20,f,f
65,84.20,5324.50,f,f
8,80.00,624.60,f,f
4,70.15,268.35,f,t
71,24.75,1836.90,f,f
1,20.20,20.20,f,f
4,50.05,179.35,f,t
12,19.35,219.35,f,f
24,50.60,1288.75,f,f
31,81.15,2545.75,f,f
1,55.20,55.20,f,t
30,89.90,2723.15,f,f
47,85.30,4107.25,f,f
54,108.00,5760.65,f,f
50,93.50,4747.50,f,f
1,84.60,84.60,f,t
72,20.25,1566.90,f,f
29,25.15,702.00,f,f
2,54.40,114.10,f,t
10,29.60,299.05,f,f
18,73.15,1305.95,f,f
11,95.00,1120.30,t,t
16,19.75,284.35,f,f
72,86.60,6350.50,f,f
72,109.20,7878.30,f,f
41,74.70,3187.65,f,f
65,94.40,6126.15,t,f
13,54.80,731.30,t,f
4,75.35,273.40,t,f
41,65.00,2531.80,f,f
15,74.40,1074.30,t,t
1,48.55,48.55,f,t
42,99.00,4298.45,f,f
51,93.50,4619.55,f,f
2,70.40,147.15,f,t
1,40.20,40.20,t,t
32,83.70,2633.30,f,f
10,19.85,193.05,f,f
67,59.55,4103.90,f,f
61,115.10,7008.15,f,f
50,114.35,5791.10,f,f
2,44.60,80.55,f,t
29,45.00,1228.65,t,f
3,41.15,132.20,t,t
13,106.90,1364.30,t,t
57,89.85,4925.35,t,f
31,49.85,1520.10,f,f
45,113.30,5032.25,f,f
61,88.10,5526.75,f,f
50,24.90,1195.25,f,f
19,105.00,2007.25,t,f
59,19.35,1099.60,f,t
71,24.25,1732.95,f,f
16,94.45,1511.20,t,t
57,59.75,3450.15,f,f
1,24.80,24.80,f,t
20,107.05,2172.05,t,f
1,70.60,70.60,f,t
5,85.40,401.10,f,t
52,105.05,5624.85,f,t
21,64.95,1339.80,t,f
14,55.00,771.95,f,f
5,50.55,244.75,f,f
6,55.15,322.90,f,f
10,51.20,498.25,f,f
1,25.40,25.40,f,f
68,54.45,3687.75,f,f
18,95.15,1779.95,f,t
22,76.00,1783.60,f,f
20,44.35,927.15,f,f
1,70.00,70.00,f,t
8,74.50,606.55,t,t
10,44.85,435.40,f,t
24,76.10,1712.70,t,t
35,61.20,2021.20,f,f
23,86.80,1940.80,f,f
6,89.35,567.80,t,f
12,19.70,220.35,f,f
1,20.25,20.25,f,f
71,76.05,5436.45,f,f
35,100.80,3437.50,t,f
40,74.55,3015.75,f,f
1,73.60,73.60,f,t
23,64.90,1509.80,f,f
4,95.45,396.10,t,t
4,90.40,356.65,f,f
68,60.30,4109.00,f,f
38,81.85,3141.70,f,f
52,24.80,1229.10,f,f
32,74.90,2303.35,t,t
29,75.55,2054.40,f,f
38,101.15,3741.85,t,f
48,78.75,3682.45,f,f
1,19.25,19.25,f,f
22,89.05,1886.25,f,f
43,115.05,4895.10,f,f
5,69.35,341.60,t,f
5,80.60,415.55,f,t
51,110.05,5686.40,f,f
71,19.90,1355.10,f,f
38,80.30,3058.65,f,t
24,93.15,2231.05,t,t
35,91.50,3236.35,f,f
54,82.45,4350.10,t,t
72,60.00,4264.00,f,f
1,44.80,44.80,f,f
9,48.60,422.30,f,f
69,60.05,4176.70,f,f
52,102.70,5138.10,f,f
11,82.90,880.05,t,f
2,70.35,139.05,t,t
28,35.90,973.65,t,f
17,82.65,1470.05,t,f
35,19.85,739.35,f,f
8,19.20,161.95,f,f
46,94.90,4422.95,f,f
7,73.85,511.25,f,t
2,80.60,155.80,f,t
68,75.80,5293.95,f,t
43,104.60,4759.85,f,t
68,88.15,6148.45,f,f
36,94.80,3565.65,f,f
63,103.40,6603.00,f,t
32,54.65,1830.10,t,f
71,85.75,6223.80,f,f
66,67.45,4508.65,f,f
63,20.50,1328.15,f,f
41,20.25,865.00,f,f
1,72.10,72.10,t,f
2,90.40,168.20,f,t
70,19.45,1303.50,f,f
23,44.95,996.85,f,f
64,97.00,6430.90,t,f
37,62.80,2278.75,f,f
17,44.60,681.40,f,f
7,89.15,574.35,t,f
4,84.80,371.90,f,t
21,41.90,840.10,t,t
10,80.25,846.00,f,t
16,54.10,889.00,t,f
64,105.25,6823.40,f,f
27,30.75,805.10,t,t
42,97.10,4016.75,f,f
5,20.20,83.75,f,f
41,98.80,3959.15,f,f
58,50.30,2878.55,f,f
47,20.55,945.70,f,f
18,75.90,1373.05,f,f
5,96.50,492.55,f,t
23,59.95,1406.00,f,f
1,19.15,19.15,f,f
71,98.65,6962.85,f,f
72,112.60,8126.65,f,f
33,20.60,690.25,f,f
2,85.65,181.50,f,t
24,35.75,830.80,f,f
56,99.75,5608.40,f,f
37,96.10,3646.80,f,f
43,85.10,3662.25,f,f
1,25.35,25.35,f,f
25,104.95,2566.50,f,t
61,89.65,5308.70,f,f
17,86.75,1410.25,f,f
41,86.20,3339.05,f,f
1,50.65,50.65,f,t
72,64.80,4732.35,t,f
1,90.85,90.85,f,t
48,108.10,5067.45,f,f
11,19.95,214.75,t,t
55,85.45,4874.70,t,t
42,54.75,2348.45,f,f
44,90.40,4063.00,f,f
1,44.00,44.00,f,f
27,95.60,2595.25,f,f
27,84.80,2309.55,t,f
2,44.30,89.30,t,f
19,19.90,367.55,f,f
42,95.05,3944.50,t,f
66,90.05,5965.95,f,f
33,109.90,3694.70,t,f
34,73.95,2524.45,f,t
33,54.60,1803.70,t,f
23,20.05,415.10,f,f
32,19.75,624.15,f,f
11,20.05,237.70,f,f
69,99.45,7007.60,f,t
68,55.90,3848.80,f,f
20,19.70,419.40,f,f
72,19.80,1468.75,f,f
60,95.40,5812.00,f,f
32,93.95,2861.45,t,f
1,19.90,19.90,f,t
1,19.60,19.60,f,t
3,81.35,233.70,t,t
46,24.45,1066.15,f,f
29,74.95,2149.05,f,f
51,87.35,4473.00,f,f
48,70.65,3545.05,t,f
16,73.25,1195.75,f,f
70,98.70,6858.90,f,f
40,24.80,1024.70,f,f
22,83.30,1845.90,f,t
1,75.30,75.30,t,t
5,24.30,132.25,f,f
7,69.85,515.45,f,f
29,100.55,2830.45,f,f
72,116.05,8404.90,t,f
44,25.70,1110.50,f,f
10,40.70,449.30,f,f
55,51.65,2838.55,t,f
52,105.10,5376.40,t,f
10,85.95,858.60,f,f
18,75.60,1395.05,f,f
68,58.25,3975.70,f,f
61,19.40,1182.55,f,t
72,65.20,4784.45,f,f
2,53.45,119.50,f,f
12,45.40,518.90,f,t
41,19.75,899.45,f,f
26,44.45,1183.80,f,f
36,20.85,720.05,f,f
72,114.05,8468.20,f,f
35,89.85,3161.20,f,f
1,55.05,55.05,f,f
16,112.95,1882.55,f,f
49,101.55,5070.40,t,f
54,114.65,6049.50,f,f
18,64.80,1166.70,f,f
36,80.40,2937.65,f,f
60,105.90,6396.45,f,t
1,69.55,69.55,f,t
52,25.05,1270.25,f,f
8,94.75,759.55,f,f
72,105.50,7611.55,f,f
64,24.70,1642.75,f,f
22,69.75,1545.40,t,f
60,60.20,3582.40,f,f
28,81.05,2227.10,f,t
61,24.40,1417.90,f,f
24,104.15,2494.65,f,f
28,92.90,2768.35,f,f
30,80.80,2369.30,f,f
2,20.00,38.00,f,f
1,75.10,75.10,f,f
6,19.65,100.90,f,f
24,69.45,1614.05,f,f
4,101.15,385.90,f,t
7,99.80,673.25,f,t
70,40.05,2799.75,f,f
64,102.10,6538.45,t,f
72,89.70,6588.95,f,f
44,19.90,868.10,f,f
13,55.95,734.35,f,t
17,20.65,330.60,t,f
1,55.00,55.00,f,t
9,70.05,564.40,f,f
24,53.60,1315.35,f,f
1,74.70,74.70,f,t
24,80.25,1861.50,f,t
35,76.05,2747.20,t,f
7,75.70,554.05,f,f
5,96.10,453.40,f,t
15,69.00,994.80,f,t
11,19.65,225.75,f,f
48,45.30,2145.00,f,t
20,81.45,1671.60,t,f
72,108.50,8003.80,f,f
8,83.55,680.05,f,t
72,84.50,6130.85,f,f
15,100.15,1415.00,f,f
72,88.60,6201.95,f,f
0,52.55,0.00,f,f
1,74.35,74.35,f,t
63,104.80,6597.25,f,f
2,59.00,114.15,f,f
2,74.40,139.40,f,t
61,64.05,3902.60,t,f
1,20.40,20.40,f,f
22,43.75,903.60,f,t
28,60.90,1785.65,f,f
70,19.80,1397.65,f,f
5,28.45,131.05,t,t
12,99.70,1238.45,f,t
34,116.25,3899.05,f,f
71,80.70,5676.00,t,f
70,65.20,4543.15,f,f
52,84.05,4326.80,f,f
69,79.45,5502.55,f,f
20,94.10,1782.40,t,t
11,78.00,851.80,f,f
2,94.20,167.50,f,t
6,80.50,502.85,f,t
1,19.85,19.85,f,f
20,94.30,1818.30,t,f
61,106.45,6300.15,f,f
5,74.35,334.80,t,t
56,105.45,5916.95,f,f
30,95.00,2852.40,f,f
40,104.80,4131.95,f,t
28,54.30,1546.30,f,f
5,70.05,302.60,t,f
27,75.20,1929.35,t,t
12,20.05,265.45,f,f
67,105.40,6989.45,f,f
29,51.60,1442.00,t,f
55,85.50,4713.40,f,f
23,75.60,1758.60,f,t
34,100.05,3480.00,f,t
52,91.25,4738.30,f,f
72,115.75,8399.15,t,f
58,94.70,5430.35,f,f
35,19.60,686.95,f,f
56,99.90,5706.30,t,f
24,21.10,490.65,f,f
70,20.05,1360.25,f,f
2,79.95,174.45,f,f
68,107.15,7379.80,t,f
1,85.00,85.00,f,t
12,89.55,1021.75,f,f
63,81.55,5029.05,f,f
33,58.45,1955.40,f,f
69,95.65,6744.20,f,f
60,80.60,4946.70,f,f
72,113.10,8248.50,f,f
11,58.95,601.60,f,f
1,19.55,19.55,f,f
10,86.05,834.10,f,t
13,45.55,597.00,f,t
34,78.95,2647.20,f,f
39,86.30,3266.00,f,t
65,105.05,6744.25,f,f
50,101.90,5265.50,t,f
15,19.75,311.60,f,f
72,110.30,7966.90,f,f
72,115.60,8220.40,f,f
55,19.35,1153.25,f,f
23,25.60,514.75,f,f
32,80.35,2596.15,f,t
56,68.75,3808.00,f,f
1,19.90,19.90,f,f
38,70.60,2708.20,f,f
11,70.20,760.05,f,f
1,49.30,49.30,f,f
56,107.25,6033.30,f,f
3,23.60,89.05,f,f
7,69.70,516.15,f,f
59,99.50,5861.75,f,f
7,64.30,445.95,f,f
71,70.85,4973.40,f,f
15,101.90,1667.25,f,f
71,73.50,5357.75,f,f
35,100.25,3527.60,f,t
11,40.40,422.60,f,f
60,19.25,1103.25,f,f
47,59.60,2754.00,t,f
11,64.90,697.25,f,f
56,100.30,5614.45,f,t
28,110.85,3204.40,t,f
61,81.05,4747.65,f,f
31,98.05,3082.10,f,f
9,70.50,597.90,f,f
35,94.55,3365.40,t,f
2,19.65,38.80,f,f
12,19.00,233.55,f,t
1,75.30,75.30,f,t
4,89.20,346.20,t,t
1,19.00,19.00,f,f
3,20.00,61.70,f,f
1,85.70,85.70,t,t
52,63.25,3342.45,f,f
5,20.10,85.10,f,f
72,99.15,7422.10,f,f
71,90.40,6668.05,f,f
72,111.90,8071.05,f,f
46,24.90,1174.80,f,f
63,83.50,5435.00,f,f
30,84.30,2438.60,f,f
1,45.60,45.60,f,f
12,61.65,713.75,f,t
16,54.85,916.15,f,f
4,65.55,237.20,f,f
51,90.35,4614.55,f,f
65,20.40,1414.45,f,f
16,74.55,1170.50,f,f
2,19.95,47.70,f,f
66,74.25,4859.25,f,f
46,108.65,4903.20,f,f
32,109.55,3608.00,f,f
72,86.65,6094.25,f,f
38,81.00,3084.90,f,f
51,47.85,2356.75,f,f
72,114.55,8306.05,f,f
65,105.25,6786.40,t,t
9,29.95,248.95,f,t
9,65.00,663.05,f,t
66,20.55,1357.10,f,f
44,109.80,4860.35,t,f
50,69.50,3418.20,f,f
15,48.85,631.40,f,f
8,25.25,186.30,f,f
66,102.85,6976.75,t,f
57,87.55,4884.85,f,f
7,78.55,522.95,f,f
10,34.55,362.60,t,f
62,92.05,5755.80,f,f
40,85.05,3355.65,f,f
20,19.70,406.95,f,f
7,20.00,137.60,f,t
25,95.15,2395.70,f,f
23,84.25,1968.10,f,f
66,104.60,6819.45,t,f
72,111.65,7943.45,t,f
49,90.05,4547.25,t,t
43,110.75,4687.90,t,t
46,55.00,2473.95,f,f
72,89.85,6562.90,f,f
10,20.35,176.30,f,f
40,54.55,2236.20,f,f
65,105.50,6985.65,f,t
31,99.45,3109.90,f,f
68,70.90,4911.35,f,f
56,104.55,5794.65,t,t
10,85.25,855.30,f,t
68,25.40,1620.20,f,f
43,56.15,2499.30,f,t
1,89.55,89.55,f,t
49,89.85,4287.20,t,f
15,25.25,394.85,f,f
20,94.55,1899.65,t,t
1,45.70,45.70,f,t
50,69.65,3442.15,f,f
2,89.50,161.50,t,t
24,70.00,1732.60,t,f
3,69.55,222.30,f,t
1,74.60,74.60,f,t
35,20.10,655.30,f,f
17,24.80,475.25,f,f
8,19.65,164.30,t,t
10,95.10,865.10,f,f
68,88.85,6132.70,f,f
45,78.80,3597.50,f,f
2,19.85,35.90,f,t
37,20.35,697.65,f,f
4,24.25,96.05,f,t
10,45.25,428.70,f,f
1,20.05,20.05,f,f
65,69.55,4459.15,f,f
57,19.50,1167.60,f,f
3,74.75,238.10,f,f
2,69.65,145.15,f,t
49,30.20,1453.10,f,f
4,45.65,191.05,f,t
70,57.80,4039.30,f,f
53,19.85,1039.45,f,f
53,25.55,1336.10,f,f
1,75.05,75.05,f,t
22,24.85,493.40,f,f
52,49.15,2550.90,t,t
65,110.35,7246.15,t,f
48,24.55,1203.95,f,f
2,34.70,62.25,f,t
3,107.95,313.60,f,f
45,81.40,3775.85,f,f
1,80.00,80.00,f,t
61,73.80,4616.05,f,f
3,64.40,195.65,f,f
40,103.75,4188.40,t,f
1,71.10,71.10,f,f
1,49.90,49.90,f,f
51,24.60,1266.40,f,f
2,49.25,91.10,t,t
52,30.10,1623.40,f,f
51,83.40,4149.45,f,f
1,20.45,20.45,f,f
31,75.25,2344.50,f,f
47,20.55,1013.05,f,f
3,75.10,270.70,f,t
22,20.05,417.00,t,f
1,20.65,20.65,f,f
72,85.15,6316.20,f,f
3,50.15,168.15,f,t
47,84.95,4018.05,t,f
72,66.50,4811.60,f,f
66,63.30,4189.70,f,f
35,83.15,2848.45,f,f
29,84.90,2516.20,f,f
2,20.55,33.60,f,f
4,49.25,208.45,f,f
25,79.85,2015.35,f,t
65,59.60,3739.80,f,f
27,104.65,2964.00,t,f
29,75.30,2263.40,f,f
29,80.10,2211.80,f,f
1,19.55,19.55,f,t
20,81.00,1683.70,f,f
58,24.70,1519.00,f,f
14,86.00,1164.05,f,f
72,25.40,1710.90,f,f
46,89.15,4245.55,f,f
71,58.25,4145.90,f,f
32,85.65,2664.30,f,f
26,50.35,1277.50,f,f
68,80.35,5589.30,t,f
2,20.20,34.75,f,f
3,70.30,208.85,f,t
61,20.55,1305.95,f,f
4,85.95,381.30,f,t
3,45.35,141.50,f,t
33,94.50,3105.55,t,t
9,21.25,204.55,t,f
22,26.25,605.90,f,f
5,80.85,356.10,f,f
30,91.70,2758.15,t,t
65,74.20,4805.65,f,f
45,87.25,3941.70,f,t
5,20.35,92.75,f,f
25,75.50,1901.05,f,f
72,79.05,5730.70,f,f
27,90.15,2423.40,f,f
32,50.60,1653.45,f,f
30,110.45,3327.05,f,f
70,101.00,7085.50,f,f
42,79.35,3344.10,t,f
72,89.85,6697.35,t,f
47,65.00,2879.90,f,f
2,80.45,137.10,f,f
10,98.55,1008.55,f,t
61,24.10,1551.60,f,f
5,44.05,202.15,f,f
72,110.80,7882.25,t,f
72,114.95,8196.40,t,f
3,75.05,202.90,t,f
48,19.25,855.10,f,f
63,90.05,5817.00,f,f
27,56.70,1652.95,f,f
70,80.15,5600.15,f,f
7,71.35,515.75,f,f
0,20.25,0.00,f,f
2,90.35,190.50,f,f
20,98.55,1842.80,t,t
66,19.70,1253.80,f,f
3,19.85,57.20,f,f
15,85.90,1269.55,f,t
72,90.35,6563.40,f,f
1,20.80,20.80,f,f
22,89.25,1907.85,f,t
72,66.85,4758.80,f,f
65,19.90,1292.60,f,f
11,35.80,363.15,f,f
22,78.85,1600.25,f,f
14,20.40,275.70,f,f
41,74.25,3089.10,f,f
17,64.80,1175.60,f,f
11,20.45,237.30,f,f
15,93.35,1444.65,f,t
1,19.90,19.90,f,t
5,88.90,454.15,f,t
33,95.80,3036.75,f,t
72,110.65,8065.65,f,f
3,40.30,92.50,f,f
2,82.00,184.65,f,t
59,107.00,6152.30,f,f
2,45.35,89.50,f,t
71,73.35,5154.50,f,f
5,44.80,220.45,f,f
27,54.75,1510.30,f,f
1,52.20,52.20,f,t
63,40.60,2588.95,f,f
46,110.00,4874.80,t,t
72,55.30,3983.60,f,f
34,60.85,2003.60,f,f
24,78.40,1832.40,f,f
72,69.65,4908.25,f,f
60,59.85,3590.20,f,f
68,76.90,5023.00,f,f
8,19.85,146.60,f,f
34,67.65,2339.30,f,f
6,45.00,298.70,f,f
2,64.20,143.65,f,f
31,81.70,2548.65,f,f
20,25.55,507.40,f,f
1,20.00,20.00,f,f
62,96.75,6125.40,f,t
70,75.65,5411.40,t,f
10,98.50,1058.25,f,t
39,23.80,903.80,f,f
46,64.20,3009.50,f,f
6,85.35,489.45,f,t
72,76.80,5468.45,f,f
18,55.20,1058.10,f,f
71,108.55,7616.00,f,f
40,101.30,4113.10,f,t
1,69.55,69.55,f,t
58,103.25,6017.65,f,t
70,104.00,7250.15,f,t
42,25.25,1108.20,f,f
34,30.40,938.65,f,f
5,20.05,94.15,t,f
25,84.60,2088.05,f,f
2,86.20,178.70,f,t
55,103.70,5656.75,f,f
21,111.20,2317.10,f,t
70,88.00,5986.45,f,f
61,106.35,6751.35,f,f
43,79.15,3566.60,f,f
47,103.10,4889.30,f,f
5,63.95,318.10,f,f
62,25.80,1563.95,f,f
16,89.45,1430.25,f,t
7,95.60,644.35,t,t
14,25.55,372.45,f,f
60,90.95,5453.40,f,t
34,44.85,1442.60,f,f
50,108.55,5610.70,f,t
38,25.05,963.95,f,f
70,74.10,5222.30,f,f
37,88.80,3340.55,f,f
4,78.85,292.80,t,t
60,93.25,5774.55,t,f
62,71.40,4487.30,f,f
1,44.40,44.40,f,t
36,79.20,2854.95,f,f
44,20.40,905.55,f,f
55,100.00,5509.30,t,t
72,105.00,7589.80,f,f
12,19.80,229.60,f,t
13,30.85,394.10,f,f
1,89.90,89.90,f,t
15,20.55,295.95,f,f
65,84.85,5459.20,f,f
12,33.15,444.75,f,f
72,92.00,6782.15,f,f
72,89.80,6510.45,f,f
72,115.80,8476.50,f,f
52,85.15,4461.85,f,f
2,24.85,62.00,f,f
5,64.35,352.65,f,f
68,20.50,1424.90,f,f
62,100.15,6413.65,f,t
72,86.05,6309.65,f,f
1,50.80,50.80,f,t
66,89.00,5898.60,f,f
72,64.80,4719.75,f,f
26,19.80,457.30,f,f
64,93.40,5822.30,f,f
20,73.65,1463.50,t,t
3,95.10,307.40,f,t
22,94.65,2104.55,f,t
4,80.60,319.15,f,t
62,39.00,2337.45,f,f
5,20.50,104.30,f,f
59,85.55,5084.65,f,t
3,26.40,121.25,f,f
72,98.20,7015.90,f,f
57,97.55,5598.00,f,f
66,19.95,1269.10,f,f
60,50.80,3027.40,f,t
45,99.70,4634.35,f,f
3,34.80,113.95,f,f
15,105.10,1582.75,f,t
51,60.15,3077.00,f,f
60,64.75,4039.50,f,f
33,54.65,1665.20,f,f
10,110.10,1043.30,f,t
26,19.30,504.20,t,f
6,83.90,497.55,f,t
67,111.25,7511.65,f,f
49,35.80,1782.00,f,f
1,20.05,20.05,f,f
7,84.35,609.65,t,f
27,110.50,2857.60,t,f
37,91.20,3247.55,f,f
63,100.55,6215.35,f,t
31,89.30,2823.00,f,f
50,103.85,5017.90,f,t
32,81.10,2619.25,t,f
1,24.60,24.60,f,t
63,81.20,4965.10,f,f
30,94.30,2679.70,f,f
71,116.10,8310.55,f,f
53,105.55,5682.25,f,f
12,98.90,1120.95,f,t
50,94.40,4914.90,f,f
2,19.50,27.55,f,f
9,98.30,923.50,f,t
17,93.85,1625.65,f,t
56,105.60,6068.65,f,f
67,81.35,5398.60,f,f
9,100.50,918.60,t,t
4,56.40,234.85,f,f
19,65.35,1231.85,f,f
8,19.95,170.90,f,f
71,111.25,7984.15,f,f
10,72.85,688.65,t,t
15,89.00,1288.30,t,f
72,106.10,7848.50,f,f
12,20.05,267.00,f,f
72,25.20,1798.90,f,f
1,73.55,73.55,t,t
23,75.40,1643.55,t,f
72,65.55,4807.45,f,f
26,80.70,2193.00,f,f
21,104.55,2239.40,f,f
60,24.15,1505.90,f,f
12,20.45,255.35,f,f
16,75.40,1189.40,f,f
63,79.70,4786.15,f,f
22,81.70,1820.90,t,f
32,76.30,2404.15,f,f
3,79.40,205.05,t,t
13,81.15,952.30,f,t
68,103.75,7039.45,f,f
30,86.45,2538.05,f,f
16,75.10,1212.85,f,f
33,80.60,2651.10,f,f
59,75.95,4542.35,f,f
72,19.30,1304.80,f,f
4,84.60,360.10,t,t
12,33.60,435.45,f,f
4,83.25,308.05,t,f
0,80.85,0.00,f,f
6,79.05,434.50,f,t
65,108.05,7118.90,f,f
15,19.90,320.45,f,f
24,21.05,531.55,f,f
13,30.15,382.20,f,f
24,79.85,2001.00,f,f
72,65.50,4919.70,f,f
54,104.10,5645.80,f,f
3,74.40,215.80,f,t
4,20.50,77.60,f,f
32,91.35,2896.55,t,f
35,99.05,3395.80,t,t
35,20.50,759.35,f,f
2,44.95,85.15,t,t
8,75.60,535.55,f,f
22,55.10,1253.15,f,f
